# Quad 0
# corner X      Y       Z
1       0	0	0     # S1
2       0	20902	13
3       43542	20894	45
4       43538	10	66
#
5       40	23306	26    # S0
6       60	44214	19
7       43596	44167	48
8       43570	23259	52
#
9       128	46943	16     # S3
10      69	90481	14
11      20842	90573	3
12      21032	47033	3
#
13      23459	46959	12     # S2
14      23329	90500	4
15      44232	90565	40
16      44362	47024	35
#
17      46991	46294	40     # S4
18      47000	67200	33
19      90540	67173	54
20      90532	46279	64
#
21      46967	69543	25     # S5
22      46827	90448	38
23      90366	90739	71
24      90502	69836	54
#
25      44330	380	55    # S7
26      44241	43919	48
27      65144	43961	54
28      65231	423	54
#
29      67589	269	52    # S6
30      67551	43809	53
31      88454	43822	63
32      88487	289	71
# Quad 0
1       0	0	0     
2       4	20906	-23
3       43540	20902	-91
4       43536	3	-72
5       25	23361	-20
6       42	44266	-51
7       43583	44219	-129
8       43564	23313	-100
9       380	46913	-70
10      366	90450	-110
11      21275	90455	-124
12      21282	46915	-78
13      23694	46878	-87
14      23751	90417	-128
15      44647	90391	-168
16      44600	46855	-123
17      47157	46706	-137
18      47221	67612	-150
19      90758	67489	-216
20      90701	46598	-214
21      47216	70029	-145
22      47248	90937	-176
23      90793	90862	-264
24      90755	69959	-232
25      44356	809	-82
26      44418	44349	-128
27      65314	44323	-159
28      65267	785	-100
29      67850	720	-123
30      67808	44261	-159
31      88710	44283	-214
32      88749	744	-176
1       0	0	0
2       0	20909	10
3       43539	20905	61
4       43537	1	-75
5       30	23463	10
6       134	44365	-12
7       43669	44165	-89
8       43568	23256	-70
9       260	47141	-17
10      354	90680	-30
11      21253	90634	-60
12      21162	47093	-39
13      23626	47091	-27
14      23838	90629	-50
15      44742	90527	-77
16      44525	46987	-65
17      47115	46220	-74
18      47202	67128	-77
19      90745	66941	-124
20      90656	46039	-116
21      47217	69520	-77
22      47217	90426	-79
23      90757	90427	-130
24      90757	69521	-131
25      44565	378	-81
26      44661	43916	-86
27      65565	43871	-84
28      65461	332	-86
29      67909	277	-96
30      67999	43818	-99
31      88905	43777	-124
32      88822	235	-125
1       0	0	0
2       2	20902	-12
3       43539	20901	-74
4       43538	3	-75
5       -23	23511	-3
6       54	44417	-25
7       43911	44249	-100
8       43512	23345	-73
9       141	46955	-23
10      203	90495	-59
11      21110	90462	-60
12      21044	46929	-40
13      23567	46899	-47
14      23567	90438	-72
15      44466	90440	-104
16      44474	46903	-76
17      47052	46094	-97
18      47111	66999	-101
19      90587	66641	-154
20      90591	45972	-160
21      47114	69405	-97
22      47112	90305	-121
23      90654	90316	-174
24      90654	69411	-158
25      44480	-137	-228
26      44465	43400	-225
27      65369	43405	-165
28      65386	-130	-168
29      67845	-134	-100
30      67888	43404	-107
31      88790	43383	-146
32      88738	-160	-136
